0,Fantasy Consoles
1,Théorie du gameplay
2,GB Studio
3,Outils simples pour créer des jeux vidéo
4,Voyage vers la lune avec le jeu vidéo «Kerbal Space Program»
5,"Technicienne informatique, qu'est-ce que c'est "
6,"Sécurité vs. Confort d'usage, espion es-tu là "
7,Pédagogie du workshop
8,Présentation d'un jeu pour découvrir la culture numérique
9,Web3 vs. Web0
10,Pratiques DIY
11,Leapfrag
12,Génération d'images avec Stable Diffusion
13,Les portes logiques
14,Scratch
15,Les Humanlab
16,Chez les esthètes
17,Le marché du livre
18,De la 1re à la 4e dimension
19,Stable Diffusion et les IA génératrices d'images
20,"La 3D numérique, notions de base"
21,Sweet Home 3D
22,Les étapes de fabrication d'un film d'animation en 3D
23,Curiosité surprise
24,Shein et la fast fashion
25,Chat GPT
26,Hybridation 2D / 3D dans les films d'animation et les jeux vidéo
27,Tech et mode
28,Visualiser l'ensemble de Mandelbrot
29,Collages avec GIMP
30,"Reconnaissance vocale en Breton, version 2.0"
31,"Calafou, voyage au TransHackFeminist"
